control_id,reference_event_id,state,district,latitude,longitude,control_start,control_end,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_source,coverage,quality,source,notes
CTRL-2021-AR-001,NEI-2021-AR-001,Arunachal Pradesh,Papum Pare,27.241524,93.335972,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Leporiang) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-002,NEI-2021-AR-002,Arunachal Pradesh,Upper Siang,28.849609,94.748649,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Between Tuting and Yingkiong) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-003,NEI-2021-AR-003,Arunachal Pradesh,East Siang,28.122053,95.274842,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Sirki waterfall 4kms from Pasighat near towards Pangin and Aalo) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-004,NEI-2021-AR-004,Arunachal Pradesh,West Siang,27.784222,94.721322,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Between Likabali and Basar) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-005,NEI-2021-AR-005,Arunachal Pradesh,East Siang,28.153611,95.181389,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Rotlung Village at Kebang) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-006,NEI-2021-AR-006,Arunachal Pradesh,Upper Siang,28.936253,94.842537,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Pekong Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-007,NEI-2021-AR-007,Arunachal Pradesh,Upper Subansiri,27.965813,94.467809,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Tode Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-008,NEI-2021-AR-008,Arunachal Pradesh,West Kameng,27.326763,92.43801,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (77.200 km in Bhalukpong-Charduar-Tawang (BCT) road Saddle, Nechiphu near) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-AR-009,NEI-2021-AR-009,Arunachal Pradesh,Papum Pare,27.095983,93.622322,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Near Indra Gandhi Park entry gate, Itanagar) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-AR-010,NEI-2021-AR-010,Arunachal Pradesh,West Kameng,27.208119,92.479767,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (80.3-km between Nechiphu and Saddle) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-011,NEI-2021-AR-011,Arunachal Pradesh,Tirap,26.911944,95.603611,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Kuthong Village in Tirap District) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-012,NEI-2021-AR-012,Arunachal Pradesh,Upper Siang,28.214774,95.235101,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Pasighat to Yignkiong (100 kms from Yingkiong)) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-013,NEI-2021-AR-013,Arunachal Pradesh,West Siang,27.796145,94.71335,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Garu, 25 km from Likabali near) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-AR-014,NEI-2021-AR-014,Arunachal Pradesh,West Kameng,27.186597,92.303984,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (between Membachur and Garbow villages) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-015,NEI-2021-AR-015,Arunachal Pradesh,East Siang,28.233722,94.9963,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Sangam Bridge Collapse Pangin near) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-016,NEI-2021-AR-016,Arunachal Pradesh,Lower Subansiri,27.794025,94.073954,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Raga headquarters) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AR-017,NEI-2021-AR-017,Arunachal Pradesh,West Kameng,27.104442,92.566072,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (20 ocations along BCT Road between Sessa and Nechippu) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AS-018,NEI-2021-AS-001,Assam,Kamrup Metropolitan,26.162784,91.694636,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Water Works Colony) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
