station_key,station,state,district,latitude,longitude,timestamp,rainfall_1h,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_24h_sum,rainfall_3d_sum,rainfall_7d_sum,rainfall_obs_24h,rainfall_obs_3d,rainfall_obs_7d,coverage_24h,coverage_3d,coverage_7d,missing_24h,missing_3d,missing_7d,rainfall_quality,timestamp_collision,quality_flag,source_file,source_period
Arunachal Pradesh::BILLE,BILLE,Arunachal Pradesh,WEST SIANG,28.45861111,94.68416667,2023-07-29 12:00:00,1.0,191.5,353.0,,30.5,225.5,575.5,8.0,36.0,72.0,0.3333333333333333,0.5,0.4285714285714285,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Bhalukpong,Bhalukpong,Arunachal Pradesh,WEST KAMENG,27.0175,92.6375,2024-03-30 02:00:00,49.0,148.0,1966.0,2587.5,49.0,245.0,588.0,1.0,5.0,12.0,0.0416666666666666,0.0694444444444444,0.0714285714285714,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Kibithu,Kibithu,Arunachal Pradesh,ANJAW,28.25722222,97.02583333,2026-04-27 07:00:00,0.5,30.0,303.0,,1.0,1.5,1.5,2.0,3.0,3.0,0.0833333333333333,0.0416666666666666,0.0178571428571428,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2026_2030.csv,2026_2030_source
Arunachal Pradesh::Lemeking,Lemeking,Arunachal Pradesh,UPPER SUBANSIRI,28.37277778,93.55972222,2025-09-18 03:00:00,34.5,9.0,28.0,68.0,34.5,34.5,34.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::MAGIGAON,MAGIGAON,Arunachal Pradesh,WEST SIANG,27.72,94.64222222,2021-04-22 05:00:00,0.5,121.5,,,0.5,1.0,1.5,1.0,2.0,3.0,0.0416666666666666,0.0277777777777777,0.0178571428571428,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Miao,Miao,Arunachal Pradesh,CHANGLANG,27.49361111,96.21916667,2025-09-07 02:00:00,114.0,81.5,372.5,1305.0,114.0,114.0,114.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Namsai,Namsai,Arunachal Pradesh,Namsai,27.63555556,95.84805556,2024-03-22 09:00:00,7.5,19.5,32.5,6716.0,7.5,7.5,21.5,1.0,1.0,15.0,0.0416666666666666,0.0138888888888888,0.0892857142857142,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Passighat,Passighat,Arunachal Pradesh,EAST SIANG,28.07777778,95.33555556,2023-10-02 01:00:00,166.5,,,,166.5,166.5,166.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::ROING,ROING,Arunachal Pradesh,Lower Dibang Valley,28.15833333,95.845,2021-07-21 05:00:00,256.0,33.0,,,512.0,517.5,517.5,2.0,3.0,3.0,0.0833333333333333,0.0416666666666666,0.0178571428571428,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::ROUTANG,ROUTANG,Arunachal Pradesh,EAST SIANG,28.1425,95.16305556,2023-11-04 08:00:00,12.0,75.0,370.5,,26.0,26.0,106.0,5.0,5.0,6.0,0.2083333333333333,0.0694444444444444,0.0357142857142857,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Seppa,Seppa,Arunachal Pradesh,EAST KAMENG,27.35861111,93.03972222,2026-05-31 18:00:00,6.5,127.5,117.0,,127.5,127.5,135.5,18.0,18.0,25.0,0.75,0.25,0.1488095238095238,False,True,True,VALID,False,OK,rainfall_tel_hr_cwc_ar_2026_2030.csv,2026_2030_source
Arunachal Pradesh::Tezu,Tezu,Arunachal Pradesh,LOHIT,27.91083333,96.17055556,2023-08-04 02:00:00,160.0,51.0,260.5,,160.0,160.0,639.5,1.0,1.0,2.0,0.0416666666666666,0.0138888888888888,0.0119047619047619,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::Tuting,Tuting,Arunachal Pradesh,UPPER SIANG,28.995,94.88694444,2023-09-10 02:00:00,437.5,40.5,241.5,,437.5,437.5,597.5,1.0,1.0,2.0,0.0416666666666666,0.0138888888888888,0.0119047619047619,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Arunachal Pradesh::bamdo,bamdo,Arunachal Pradesh,UPPER SIANG,28.75361111,94.90083333,2023-04-09 23:00:00,0.5,85.0,395.5,537.5,2.5,3.0,129.5,4.0,5.0,29.0,0.1666666666666666,0.0694444444444444,0.1726190476190476,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021_2025_source
Assam::AP Ghat,AP Ghat,Assam,CACHAR,24.83194444,92.79611111,2026-06-02 10:00:00,1.5,395.5,301.0,476.0,1.5,1.5,6.5,1.0,1.0,4.0,0.0416666666666666,0.0138888888888888,0.0238095238095238,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::BAHALPUR,BAHALPUR,Assam,DHUBRI,26.31948889,90.46948889,2026-05-21 01:00:00,144.0,11.0,951.0,,144.0,144.0,144.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Badatighat,Badatighat,Assam,LAKHIMPUR,26.94888889,93.96222222,2020-07-16 04:30:00,1.0,45.0,,,1.0,11.0,62.5,1.0,5.0,38.0,0.0416666666666666,0.0694444444444444,0.2261904761904762,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_1991_2020.csv,1991_2020_source
Assam::Basudevthan,Basudevthan,Assam,LAKHIMPUR,27.37472222,94.55472222,2026-02-17 07:00:00,3.0,72.5,,,6.0,6.0,6.0,2.0,2.0,2.0,0.0833333333333333,0.0277777777777777,0.0119047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Beki Road bridge,Beki Road bridge,Assam,BARPETA,26.49413333,90.91789722,2026-05-16 14:00:00,0.5,121.0,1786.0,,0.5,0.5,224.5,1.0,1.0,2.0,0.0416666666666666,0.0138888888888888,0.0119047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
