sample_id,label,sample_type,source,slide_no,feature_id,state_code,state,district,latitude,longitude,year,triggering,activity,geomorph,lithology,lulc,area_sqm,geometry_type
LS2014_000001,1,positive,bhuvan_2014,AR/TA/78M10/2014/13,,AR,Arunachal Pradesh,Tawang,27.5925,91.6087,2014,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),"Gneiss (Sela Group), Palaeoproterozoic",Evergreen / Semi evergreen,1796.0,MultiPolygon
LS2014_000002,1,positive,bhuvan_2014,AR/TA/78M10/2014/19,,AR,Arunachal Pradesh,Tawang,27.5463,91.6645,2014,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Schist (Dirang Formation (Lumla Formation) Mesoproterozoic,Evergreen / Semi evergreen,3720.0,MultiPolygon
LS2014_000003,1,positive,bhuvan_2014,AR/TA/78M10/2014/22,,AR,Arunachal Pradesh,Tawang,27.5415,91.6846,2014,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Schist (Dirang Formation (Lumla Formation) Mesoproterozoic,Evergreen / Semi evergreen,499.0,MultiPolygon
LS2014_000004,1,positive,bhuvan_2014,AR/TA/78M14/2014/16,,AR,Arunachal Pradesh,Tawang,27.5627,91.8233,2014,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Granitoid Gneiss (Ziro Granite Gneiss),Scrub land,9400.0,MultiPolygon
LS2014_000005,1,positive,bhuvan_2014,AR/TA/78M14/2014/17,,AR,Arunachal Pradesh,Tawang,27.5597,91.906,2014,Rainfall,Active,Denudational Slope (DS),Granitoid Gneiss (Ziro Granite Gneiss),Scrub land,233.0,MultiPolygon
LS2014_000006,1,positive,bhuvan_2014,AR/WK/83B05/2014/383,,AR,Arunachal Pradesh,West Kameng,26.9691,92.4361,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,866.0,MultiPolygon
LS2014_000007,1,positive,bhuvan_2014,AR/WK/83B05/2014/389,,AR,Arunachal Pradesh,West Kameng,26.9659,92.4404,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,180.0,MultiPolygon
LS2014_000008,1,positive,bhuvan_2014,AR/WK/83B05/2014/391,,AR,Arunachal Pradesh,West Kameng,26.9653,92.4402,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,353.0,MultiPolygon
LS2014_000009,1,positive,bhuvan_2014,AR/WK/83B05/2014/399,,AR,Arunachal Pradesh,West Kameng,26.9622,92.3212,2014,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1587.0,MultiPolygon
LS2014_000010,1,positive,bhuvan_2014,AR/WK/83B05/2014/401,,AR,Arunachal Pradesh,West Kameng,26.962,92.3148,2014,Rainfall,Active,Structural Hills - Less Dissected (SHL),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1517.0,MultiPolygon
LS2014_000011,1,positive,bhuvan_2014,AR/WK/83B05/2014/402,,AR,Arunachal Pradesh,West Kameng,26.9611,92.3712,2014,Rainfall,Active,Structural Hills - Less Dissected (SHL),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,2296.0,MultiPolygon
LS2014_000012,1,positive,bhuvan_2014,AR/WK/83B05/2014/404,,AR,Arunachal Pradesh,West Kameng,26.9523,92.3855,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,395.0,MultiPolygon
LS2014_000013,1,positive,bhuvan_2014,AR/WK/83B05/2014/406,,AR,Arunachal Pradesh,West Kameng,26.9519,92.3083,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,987.0,MultiPolygon
LS2014_000014,1,positive,bhuvan_2014,AR/WK/83B05/2014/407,,AR,Arunachal Pradesh,West Kameng,26.9514,92.3359,2014,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,216.0,MultiPolygon
LS2014_000015,1,positive,bhuvan_2014,AR/WK/83B05/2014/408,,AR,Arunachal Pradesh,West Kameng,26.9513,92.3357,2014,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1637.0,MultiPolygon
LS2014_000016,1,positive,bhuvan_2014,AR/WK/83B05/2014/409,,AR,Arunachal Pradesh,West Kameng,26.9505,92.3928,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,276.0,MultiPolygon
LS2014_000017,1,positive,bhuvan_2014,AR/WK/83B05/2014/410,,AR,Arunachal Pradesh,West Kameng,26.9503,92.3133,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,297.0,MultiPolygon
LS2014_000018,1,positive,bhuvan_2014,AR/WK/83B05/2014/411,,AR,Arunachal Pradesh,West Kameng,26.9495,92.3259,2014,Rainfall,Active,Denudational Slope (DS),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,349.0,MultiPolygon
LS2014_000019,1,positive,bhuvan_2014,AR/WK/83B05/2014/412,,AR,Arunachal Pradesh,West Kameng,26.9466,92.3973,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,237.0,MultiPolygon
LS2014_000020,1,positive,bhuvan_2014,AR/WK/83B05/2014/413,,AR,Arunachal Pradesh,West Kameng,26.9466,92.3135,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,524.0,MultiPolygon
LS2014_000021,1,positive,bhuvan_2014,AR/WK/83B05/2014/414,,AR,Arunachal Pradesh,West Kameng,26.9443,92.3896,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,1653.0,MultiPolygon
LS2014_000022,1,positive,bhuvan_2014,AR/WK/83B05/2014/415,,AR,Arunachal Pradesh,West Kameng,26.9435,92.3407,2014,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,402.0,MultiPolygon
