sample_id,label,sample_type,source,slide_no,feature_id,state_code,state,district,latitude,longitude,year,triggering,activity,geomorph,lithology,lulc,area_sqm,geometry_type,elevation_m,slope_deg,aspect_deg,relief_std_5x5_m,dem_tile,dem_nodata,terrain_quality,soil_class,clay_percent,sand_percent,silt_percent,bulk_density_kg_dm3,soil_quality,landcover_class_code,landcover_class,lulc_quality
LS2014_000001,1,positive,bhuvan_2014,AR/TA/78M10/2014/13,,AR,Arunachal Pradesh,Tawang,27.5925,91.6087,2014.0,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),"Gneiss (Sela Group), Palaeoproterozoic",Evergreen / Semi evergreen,1796.0,MultiPolygon,3139.696044921875,37.41242832184688,141.48818963788497,36.00233840942383,Copernicus_DSM_COG_10_N27_00_E091_00_DEM,,OK,Luvisols,26.4,39.1,34.6,1.09,OK,10,Tree cover,OK
LS2014_000002,1,positive,bhuvan_2014,AR/TA/78M10/2014/19,,AR,Arunachal Pradesh,Tawang,27.5463,91.6645,2014.0,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Schist (Dirang Formation (Lumla Formation) Mesoproterozoic,Evergreen / Semi evergreen,3720.0,MultiPolygon,1995.565673828125,43.75848776944959,149.2187779957394,36.4386100769043,Copernicus_DSM_COG_10_N27_00_E091_00_DEM,,OK,Luvisols,32.0,32.8,35.2,1.12,OK,30,Grassland,OK
LS2014_000003,1,positive,bhuvan_2014,AR/TA/78M10/2014/22,,AR,Arunachal Pradesh,Tawang,27.5415,91.6846,2014.0,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Schist (Dirang Formation (Lumla Formation) Mesoproterozoic,Evergreen / Semi evergreen,499.0,MultiPolygon,1242.291015625,22.010657688273987,144.65497824415604,17.868640899658203,Copernicus_DSM_COG_10_N27_00_E091_00_DEM,,OK,Luvisols,27.6,41.4,31.0,1.28,OK,10,Tree cover,OK
LS2014_000004,1,positive,bhuvan_2014,AR/TA/78M14/2014/16,,AR,Arunachal Pradesh,Tawang,27.5627,91.8233,2014.0,Rainfall,Active,Denudational Hills - Moderately Dissected (DHM),Granitoid Gneiss (Ziro Granite Gneiss),Scrub land,9400.0,MultiPolygon,2418.833251953125,44.4408908516962,233.9269272949323,35.28449630737305,Copernicus_DSM_COG_10_N27_00_E091_00_DEM,,OK,Luvisols,32.9,31.3,35.8,1.05,OK,10,Tree cover,OK
LS2014_000005,1,positive,bhuvan_2014,AR/TA/78M14/2014/17,,AR,Arunachal Pradesh,Tawang,27.5597,91.906,2014.0,Rainfall,Active,Denudational Slope (DS),Granitoid Gneiss (Ziro Granite Gneiss),Scrub land,233.0,MultiPolygon,1932.4029541015625,7.235913495501116,158.52921176897868,8.102551460266113,Copernicus_DSM_COG_10_N27_00_E091_00_DEM,,OK,Luvisols,35.6,30.2,34.2,1.13,OK,40,Cropland,OK
LS2014_000006,1,positive,bhuvan_2014,AR/WK/83B05/2014/383,,AR,Arunachal Pradesh,West Kameng,26.9691,92.4361,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,866.0,MultiPolygon,368.92376708984375,40.31145666348806,143.4248376174485,24.626251220703125,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Acrisols,26.7,33.4,39.9,1.18,OK,10,Tree cover,OK
LS2014_000007,1,positive,bhuvan_2014,AR/WK/83B05/2014/389,,AR,Arunachal Pradesh,West Kameng,26.9659,92.4404,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,180.0,MultiPolygon,342.1784973144531,23.542512406676384,228.2397509340951,17.453134536743164,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Acrisols,27.1,34.4,38.5,1.16,OK,10,Tree cover,OK
LS2014_000008,1,positive,bhuvan_2014,AR/WK/83B05/2014/391,,AR,Arunachal Pradesh,West Kameng,26.9653,92.4402,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,353.0,MultiPolygon,331.51806640625,25.38066192852873,219.46787622872023,16.878501892089844,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Acrisols,27.1,34.5,38.4,1.15,OK,10,Tree cover,OK
LS2014_000009,1,positive,bhuvan_2014,AR/WK/83B05/2014/399,,AR,Arunachal Pradesh,West Kameng,26.9622,92.3212,2014.0,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1587.0,MultiPolygon,583.015625,42.41921739764995,160.3526573075914,35.67989730834961,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.6,33.2,38.2,1.13,OK,30,Grassland,OK
LS2014_000010,1,positive,bhuvan_2014,AR/WK/83B05/2014/401,,AR,Arunachal Pradesh,West Kameng,26.962,92.3148,2014.0,Rainfall,Active,Structural Hills - Less Dissected (SHL),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1517.0,MultiPolygon,570.4655151367188,45.39824917781978,132.1135421613052,29.425926208496094,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,27.8,33.7,38.5,1.12,OK,10,Tree cover,OK
LS2014_000011,1,positive,bhuvan_2014,AR/WK/83B05/2014/402,,AR,Arunachal Pradesh,West Kameng,26.9611,92.3712,2014.0,Rainfall,Active,Structural Hills - Less Dissected (SHL),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,2296.0,MultiPolygon,464.8782958984375,25.69824040375771,27.203661239127417,16.71590232849121,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,30.2,32.4,37.3,1.1,OK,10,Tree cover,OK
LS2014_000012,1,positive,bhuvan_2014,AR/WK/83B05/2014/404,,AR,Arunachal Pradesh,West Kameng,26.9523,92.3855,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,395.0,MultiPolygon,518.802734375,27.20467130045428,188.3183082234383,18.37714195251465,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,33.0,32.2,34.8,1.14,OK,10,Tree cover,OK
LS2014_000013,1,positive,bhuvan_2014,AR/WK/83B05/2014/406,,AR,Arunachal Pradesh,West Kameng,26.9519,92.3083,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,987.0,MultiPolygon,441.904052734375,33.873695986685284,151.2984282902498,27.52349853515625,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Luvisols,29.8,33.7,36.5,1.12,OK,10,Tree cover,OK
LS2014_000014,1,positive,bhuvan_2014,AR/WK/83B05/2014/407,,AR,Arunachal Pradesh,West Kameng,26.9514,92.3359,2014.0,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,216.0,MultiPolygon,398.031005859375,42.051130935678025,146.9944364347198,26.30425071716309,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.1,33.2,38.7,1.16,OK,10,Tree cover,OK
LS2014_000015,1,positive,bhuvan_2014,AR/WK/83B05/2014/408,,AR,Arunachal Pradesh,West Kameng,26.9513,92.3357,2014.0,Rainfall,Active,Structural Hills - Moderately Dissected (SHM),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,1637.0,MultiPolygon,398.031005859375,42.051123629294274,146.99446024756946,26.30425071716309,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.1,33.2,38.7,1.16,OK,10,Tree cover,OK
LS2014_000016,1,positive,bhuvan_2014,AR/WK/83B05/2014/409,,AR,Arunachal Pradesh,West Kameng,26.9505,92.3928,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,276.0,MultiPolygon,426.1017761230469,20.84812064765345,90.31174087010382,13.988536834716797,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,34.7,33.0,32.2,1.12,OK,10,Tree cover,OK
LS2014_000017,1,positive,bhuvan_2014,AR/WK/83B05/2014/410,,AR,Arunachal Pradesh,West Kameng,26.9503,92.3133,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,297.0,MultiPolygon,498.941162109375,26.95833697979005,116.64778109613763,21.788307189941406,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,30.1,32.8,37.1,1.12,OK,10,Tree cover,OK
LS2014_000018,1,positive,bhuvan_2014,AR/WK/83B05/2014/411,,AR,Arunachal Pradesh,West Kameng,26.9495,92.3259,2014.0,Rainfall,Active,Denudational Slope (DS),Sandstone with shales (Siwalik Super Group (Lower),Evergreen / Semi evergreen,349.0,MultiPolygon,480.9154052734375,42.53743314071506,151.18604653887866,25.22850227355957,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,29.7,33.4,36.9,1.13,OK,10,Tree cover,OK
LS2014_000019,1,positive,bhuvan_2014,AR/WK/83B05/2014/412,,AR,Arunachal Pradesh,West Kameng,26.9466,92.3973,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,237.0,MultiPolygon,373.1163940429688,39.29797931443532,183.8566805282038,26.30486297607422,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,29.1,35.9,35.0,1.15,OK,10,Tree cover,OK
LS2014_000020,1,positive,bhuvan_2014,AR/WK/83B05/2014/413,,AR,Arunachal Pradesh,West Kameng,26.9466,92.3135,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,524.0,MultiPolygon,407.4276428222656,26.01392783521253,142.27828106623866,18.486007690429688,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.4,32.5,39.2,1.15,OK,10,Tree cover,OK
LS2014_000021,1,positive,bhuvan_2014,AR/WK/83B05/2014/414,,AR,Arunachal Pradesh,West Kameng,26.9443,92.3896,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,1653.0,MultiPolygon,314.85382080078125,29.29230195522495,200.557014922616,25.52332305908203,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,29.6,35.3,35.1,1.14,OK,10,Tree cover,OK
LS2014_000022,1,positive,bhuvan_2014,AR/WK/83B05/2014/415,,AR,Arunachal Pradesh,West Kameng,26.9435,92.3407,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,402.0,MultiPolygon,386.9129028320313,46.05490372680696,147.30219615421402,33.92744445800781,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,29.2,34.4,36.4,1.15,OK,10,Tree cover,OK
LS2014_000023,1,positive,bhuvan_2014,AR/WK/83B05/2014/416,,AR,Arunachal Pradesh,West Kameng,26.9431,92.3536,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,131.0,MultiPolygon,350.73248291015625,31.36871292302986,178.9310899652977,21.39333152770996,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,29.4,35.2,35.4,1.15,OK,10,Tree cover,OK
LS2014_000024,1,positive,bhuvan_2014,AR/WK/83B05/2014/417,,AR,Arunachal Pradesh,West Kameng,26.9426,92.3583,2014.0,Rainfall,Active,Structural Hills - Highly Dissected (SHH),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,219.0,MultiPolygon,381.6955871582031,11.261124719591528,235.85586830501435,12.551889419555664,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.3,34.7,36.9,1.17,OK,10,Tree cover,OK
LS2014_000025,1,positive,bhuvan_2014,AR/WK/83B05/2014/418,,AR,Arunachal Pradesh,West Kameng,26.942,92.3935,2014.0,Rainfall,Active,Valley (V),Shaly sandstone (Siwalik Super Group),Evergreen / Semi evergreen,459.0,MultiPolygon,362.6817321777344,38.66370670431249,208.70065745593803,30.285306930541992,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,,OK,Cambisols,28.7,35.1,36.2,1.15,OK,10,Tree cover,OK
