rainfall_24h,rainfall_3d,rainfall_7d,slope,elevation,historical_landslide,distance_to_landslide,soil_risk,risk
20,45,80,12,400,0,8.5,0.1,Low
25,60,110,15,450,0,7.2,0.2,Low
30,75,140,18,500,0,6.5,0.2,Low
35,90,170,20,550,0,5.8,0.3,Low
40,110,210,22,600,0,5.0,0.3,Watch
45,130,250,24,650,1,4.5,0.4,Watch
50,150,280,26,700,0,4.0,0.4,Watch
55,180,320,28,720,1,3.5,0.5,Watch
60,200,360,30,750,1,3.0,0.5,High
70,230,400,32,780,1,2.5,0.6,High
80,260,450,34,800,1,2.0,0.6,High
90,300,500,36,820,1,1.8,0.7,High
100,340,550,38,850,1,1.5,0.7,Critical
120,380,600,40,880,1,1.2,0.8,Critical
140,420,650,42,900,1,1.0,0.8,Critical
160,460,700,45,920,1,0.8,0.9,Critical
180,500,750,47,950,1,0.5,0.9,Critical
200,550,800,50,980,1,0.3,1.0,Critical
