event_id_a,event_id_b,source_a,source_b,date_similarity,location_similarity,description_similarity,same_event,decision,event_typology,review_notes
NEI-2021-AR-001,NEI-2021-AR-009,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),8_DAYS_DIFF,32.62_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 32.6 km and 8 days. Roads: 'NH 13' vs 'NH 415'.
NEI-2021-AR-001,NEI-2021-MN-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,230.18_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 230.2 km and 2 days. Roads: 'NH 13' vs ''.
NEI-2021-AR-001,NEI-2021-MN-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,234.14_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 234.1 km and 1 days. Roads: 'NH 13' vs 'Imphal-Tamenglong Road'.
NEI-2021-AR-001,NEI-2021-SK-017,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,467.28_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 467.3 km and 1 days. Roads: 'NH 13' vs ''.
NEI-2021-AR-002,NEI-2021-AR-003,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,95.86_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 95.9 km and 0 days. Roads: 'Yingkiong Road' vs 'NH 13'.
NEI-2021-AR-002,NEI-2021-AR-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,118.50_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 118.5 km and 0 days. Roads: 'Yingkiong Road' vs 'NH 13'.
NEI-2021-AR-002,NEI-2021-AR-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),57_DAYS_DIFF,13.28_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 13.3 km and 57 days. Roads: 'Yingkiong Road' vs ''.
NEI-2021-AR-003,NEI-2021-AR-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,66.08_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 66.1 km and 0 days. Roads: 'NH 13' vs 'NH 13'.
NEI-2021-AR-003,NEI-2021-AR-005,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),47_DAYS_DIFF,9.81_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 9.8 km and 47 days. Roads: 'NH 13' vs ''.
NEI-2021-AR-003,NEI-2021-AR-012,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),44_DAYS_DIFF,11.02_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 11.0 km and 44 days. Roads: 'NH 13' vs 'NH 52'.
