event_id,event_date,event_time,event_time_precision,rainfall_start,rainfall_end,temporal_alignment,alignment_confidence,notes
NEI-2021-AR-001,2021-06-08,,DATE_ONLY,2021-06-08 00:00:00,2021-06-08 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-002,2021-08-13,,DATE_ONLY,2021-08-13 00:00:00,2021-08-13 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-003,2021-08-13,14:48:00,EXACT_TIME,2021-08-13 00:00:00,2021-08-13 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-004,2021-08-13,,DATE_ONLY,2021-08-13 00:00:00,2021-08-13 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-005,2021-06-27,,DATE_ONLY,2021-06-27 00:00:00,2021-06-27 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-006,2021-06-17,,DATE_ONLY,2021-06-17 00:00:00,2021-06-17 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-007,2021-07-08,,DATE_ONLY,2021-07-08 00:00:00,2021-07-08 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-008,2021-06-05,09:30:00,EXACT_TIME,2021-06-05 00:00:00,2021-06-05 23:59:59,EXACT,HIGH,Rainfall temporally associated with the documented event (CWC station observation)
NEI-2021-AR-009,2021-05-31,,DATE_ONLY,2021-05-31 00:00:00,2021-05-31 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-010,2021-05-25,,DATE_ONLY,2021-05-25 00:00:00,2021-05-25 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-011,2021-06-22,01:30:00,EXACT_TIME,2021-06-22 00:00:00,2021-06-22 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-012,2021-06-30,,DATE_ONLY,2021-06-30 00:00:00,2021-06-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
