event_id,rainfall_source,rainfall_dataset,station_or_grid_id,station_name,station_latitude,station_longitude,station_distance_km,grid_offset_km,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,rainfall_7d_mm,API_3d,API_7d,rainfall_coverage,rainfall_quality,rainfall_missing_flag,notes
NEI-2021-AR-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.2_93.3,NASA GPM Satellite Grid 0.1deg,27.25,93.35,,5.5,,,,,150.77,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.8_94.7,NASA GPM Satellite Grid 0.1deg,28.85,94.75,,5.5,,,,,75.21,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.1_95.3,NASA GPM Satellite Grid 0.1deg,28.15,95.35,,5.5,,,,,52.84,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.8_94.7,NASA GPM Satellite Grid 0.1deg,27.85,94.75,,5.5,,,,,19.04,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-005,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.2_95.2,NASA GPM Satellite Grid 0.1deg,28.25,95.25,,5.5,,,,,47.74,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-006,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.9_94.8,NASA GPM Satellite Grid 0.1deg,28.95,94.85,,5.5,,,,,2.64,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-007,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.0_94.5,NASA GPM Satellite Grid 0.1deg,28.05,94.55,,5.5,,,,,73.12,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-008,CWC,CWC Telemetry Hourly Rainfall,CWC_STN_BHALUKPONG,Bhalukpong,27.0175,92.6375,39.65,,5.0,11.5,20.5,31.5,42.0,91.0,131.0,,0.0,57.81,75.0%,GOOD,FALSE,Verified local CWC telemetry station 'Bhalukpong' (39.65 km). 18/24 non-NaN readings.
NEI-2021-AR-009,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_93.6,NASA GPM Satellite Grid 0.1deg,27.15,93.65,,5.5,,,,,69.53,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-010,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.2_92.5,NASA GPM Satellite Grid 0.1deg,27.25,92.55,,5.5,,,,,0.01,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-011,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.9_95.6,NASA GPM Satellite Grid 0.1deg,26.95,95.65,,5.5,,,,,96.87,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-012,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.2_95.2,NASA GPM Satellite Grid 0.1deg,28.25,95.25,,5.5,,,,,29.26,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-013,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.8_94.7,NASA GPM Satellite Grid 0.1deg,27.85,94.75,,5.5,,,,,18.78,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-014,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.2_92.3,NASA GPM Satellite Grid 0.1deg,27.25,92.35,,5.5,,,,,0.54,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
