event_id,event_date,event_time,event_time_precision,state,district,subdistrict,village,locality,latitude,longitude,location_precision,landslide_type,trigger_reported,fatalities,houses_affected,road_affected,source_id,source_name,source_url,source_document,source_page,source_date,access_date,confidence,notes
NEI-2021-AR-001,2021-06-08,,DATE_ONLY,Arunachal Pradesh,Papum Pare,,,Leporiang,27.241524,93.335972,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 13,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/l; Source Slide No: ; Card: card_01_p37_x290.png; Page: 37; Affected transit corridor: NH 13; Reported timing: morning
NEI-2021-AR-002,2021-08-13,,DATE_ONLY,Arunachal Pradesh,Upper Siang,,,Between Tuting and Yingkiong,28.849609,94.748649,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,Yingkiong Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspapers/2021/Arunachal Pradesh/2; Source Slide No: 2; Card: card_02_p37_x291.png; Page: 37; Affected transit corridor: Yingkiong Road
NEI-2021-AR-003,2021-08-13,14:48:00,EXACT_TIME,Arunachal Pradesh,East Siang,,,Sirki waterfall 4kms from Pasighat near towards Pangin and Aalo,28.122053,95.274842,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 13,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspapers/2021/Arunachal Pradesh/3; Source Slide No: 3; Card: card_03_p37_x292.png; Page: 37; Affected transit corridor: NH 13; Reported timing: 14:48
NEI-2021-AR-004,2021-08-13,,DATE_ONLY,Arunachal Pradesh,West Siang,,,Between Likabali and Basar,27.784222,94.721322,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 13,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspapers/2021/Arunachal Pradesh/4; Source Slide No: 4; Card: card_04_p37_x293.png; Page: 37; Affected transit corridor: NH 13
NEI-2021-AR-005,2021-06-27,,DATE_ONLY,Arunachal Pradesh,East Siang,,,Rotlung Village at Kebang,28.153611,95.181389,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/5; Source Slide No: 5; Card: card_05_p37_x294.png; Page: 37
NEI-2021-AR-006,2021-06-17,,DATE_ONLY,Arunachal Pradesh,Upper Siang,,,Pekong Village,28.936253,94.842537,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),37,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/6; Source Slide No: 6; Card: card_06_p37_x295.png; Page: 37
NEI-2021-AR-007,2021-07-08,,DATE_ONLY,Arunachal Pradesh,Upper Subansiri,,,Tode Village,27.965813,94.467809,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,Trans Arunachal Highway,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/7; Source Slide No: 7; Card: card_07_p38_x297.png; Page: 38; Affected transit corridor: Trans Arunachal Highway
NEI-2021-AR-008,2021-06-05,09:30:00,EXACT_TIME,Arunachal Pradesh,West Kameng,,,"77.200 km in Bhalukpong-Charduar-Tawang (BCT) road Saddle, Nechiphu near",27.326763,92.43801,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,2,,BCT Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/8; Source Slide No: 8; Card: card_08_p38_x298.png; Page: 38; Affected transit corridor: BCT Road; Reported timing: 9:30
NEI-2021-AR-009,2021-05-31,,DATE_ONLY,Arunachal Pradesh,Papum Pare,,,"Near Indra Gandhi Park entry gate, Itanagar",27.095983,93.622322,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 415,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/9; Source Slide No: 9; Card: card_09_p38_x299.png; Page: 38; Affected transit corridor: NH 415
NEI-2021-AR-010,2021-05-25,,DATE_ONLY,Arunachal Pradesh,West Kameng,,,80.3-km between Nechiphu and Saddle,27.208119,92.479767,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,BCT Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/10; Source Slide No: 10; Card: card_10_p38_x300.png; Page: 38; Affected transit corridor: BCT Road
